date,time,combined_date,SolarRadiation,Precipitation,HCAirTemperatureOp1,HCAirTemperatureOp2,HCAirTemperatureOp3
01/05/2016,00:00:00,01/05/2016 00:00,0,0,12.2,11.8,12.5
01/05/2016,01:00:00,01/05/2016 01:00,0,0,12.3,11.7,12.9
01/05/2016,02:00:00,01/05/2016 02:00,0,0,11,10.1,11.7
01/05/2016,03:00:00,01/05/2016 03:00,0,0,9.7,9.3,10
01/05/2016,04:00:00,01/05/2016 04:00,0,0,9.3,9,9.8
01/05/2016,05:00:00,01/05/2016 05:00,0,0,8.9,8.6,9.3
01/05/2016,06:00:00,01/05/2016 06:00,63,0,10.1,9.3,11
01/05/2016,07:00:00,01/05/2016 07:00,210,0,11.9,10.9,13
01/05/2016,08:00:00,01/05/2016 08:00,398,0,14.2,13.4,15.1
01/05/2016,09:00:00,01/05/2016 09:00,568,0,15.9,15.1,16.6
01/05/2016,10:00:00,01/05/2016 10:00,673,0,17.4,16.7,17.9
01/05/2016,11:00:00,01/05/2016 11:00,757,0,18.3,17.4,19.4
01/05/2016,12:00:00,01/05/2016 12:00,731,0,19,18.3,20.3
01/05/2016,13:00:00,01/05/2016 13:00,514,0,19.4,18.4,20.8
01/05/2016,14:00:00,01/05/2016 14:00,594,0,19.6,18.8,20.7
01/05/2016,15:00:00,01/05/2016 15:00,508,0,19.7,18.8,20.4
01/05/2016,16:00:00,01/05/2016 16:00,201,0,19.8,18.8,20.8
01/05/2016,17:00:00,01/05/2016 17:00,116,0,19.6,19,20
01/05/2016,18:00:00,01/05/2016 18:00,63,0,18.7,18.2,19.2
01/05/2016,19:00:00,01/05/2016 19:00,22,0,17.2,15.8,18
01/05/2016,20:00:00,01/05/2016 20:00,0,0,14.9,14.1,15.7
01/05/2016,21:00:00,01/05/2016 21:00,0,0,12.9,12.1,14
01/05/2016,22:00:00,01/05/2016 22:00,0,0,11.4,10.7,12.2
01/05/2016,23:00:00,01/05/2016 23:00,0,0,10.5,9.7,11.3
02/05/2016,00:00:00,02/05/2016 00:00,0,0,10.8,9.9,11.3
02/05/2016,01:00:00,02/05/2016 01:00,0,0,10.4,10.1,10.7
02/05/2016,02:00:00,02/05/2016 02:00,0,0,10.2,9.9,10.5
02/05/2016,03:00:00,02/05/2016 03:00,0,0,9.8,9.5,10.3
02/05/2016,04:00:00,02/05/2016 04:00,0,0,9.1,8.4,10
02/05/2016,05:00:00,02/05/2016 05:00,0,0,8.9,8.3,9.3
02/05/2016,06:00:00,02/05/2016 06:00,64,0,10.6,9.5,11.5
02/05/2016,07:00:00,02/05/2016 07:00,214,0,12.7,11.8,13.6
02/05/2016,08:00:00,02/05/2016 08:00,404,0,15.2,13.8,16.5
02/05/2016,09:00:00,02/05/2016 09:00,574,0,17.5,16.5,18.5
02/05/2016,10:00:00,02/05/2016 10:00,735,0,18.7,18.1,19.2
02/05/2016,11:00:00,02/05/2016 11:00,826,0,19.5,19.1,20.2
